date,spot,vix,vix3m,r,cash,mark,equity,interest,realised_pnl,position_open,filter_active
2005-01-03,1202.0799560546875,14.079999923706056,,0.023285516164195733,400000.0,0.0,400000.0,0.0,0.0,False,False
2005-01-04,1188.050048828125,13.979999542236328,,0.02338749666748501,400183.9908587385,-328.4716708584024,399855.5191878801,25.51918788009644,0.0,True,False
2005-01-05,1183.739990234375,14.09000015258789,,0.023285516164195733,400209.6336028732,-309.7318458649705,399899.9017570082,25.642744134717034,0.0,True,False
2005-01-06,1187.8900146484375,13.579999923706056,,0.023081562935935395,400235.1661649515,-287.858883041348,399947.30728191015,25.532562078340696,0.0,True,False
2005-01-07,1186.18994140625,13.489999771118164,,0.02318353825372344,400260.47669995774,-269.45782760152343,399991.0188723562,25.31053500623916,0.0,True,False
2005-01-10,1190.25,13.229999542236328,,0.023693453735569706,400336.75345251214,-245.0456646519039,400091.70778786024,76.27675255442477,0.0,True,False
2005-01-11,1182.989990234375,13.1899995803833,,0.02348947976372222,400362.741584615,-219.66710912412876,400143.0744754909,25.988132102853093,0.0,True,False
2005-01-12,1187.699951171875,12.5600004196167,,0.02338749666748501,400388.50765346194,-195.77408093907843,400192.7335725229,25.76606884690176,0.0,True,False
2005-01-13,1177.449951171875,12.84000015258789,,0.02348947976372222,400414.1635024983,-192.85283874596547,400221.3106637523,25.655849036357633,0.0,True,False
2005-01-14,1184.52001953125,12.43000030517578,,0.02359146545304013,400439.9328806958,-175.86051740664425,400264.07236328913,25.769378197495115,0.0,True,False
2005-01-18,1195.97998046875,12.470000267028809,,0.023999434143750862,400543.47464662394,-168.47145456199536,400375.00319206197,103.54176592815115,0.0,True,False
2005-01-19,1184.6300048828125,13.18000030517578,,0.023693453735569706,400569.81199670275,-166.7921786891377,400403.0198180136,26.337350078809454,0.0,True,False
2005-01-20,1175.4100341796875,13.829999923706056,,0.02348947976372222,400595.8152579592,-178.1114297212285,400417.70382823795,26.003261256451633,0.0,True,False
2005-01-21,1167.8699951171875,14.359999656677246,,0.02348947976372222,400621.5963266842,-192.8185793700962,400428.7777473141,25.78106872498736,0.0,True,False
2005-01-24,1163.75,14.649999618530272,,0.02379544461144372,400698.94948841044,-186.13920132507317,400512.81028708536,77.35316172625758,0.0,True,False
2005-01-25,1168.4100341796875,14.0600004196167,,0.023999434143750862,400725.0731061271,-159.73785606474476,400565.33525006234,26.123617716648354,0.0,True,False
2005-01-26,1174.0699462890625,13.4399995803833,,0.024101432800448245,400751.42239703756,-136.27176583800122,400615.15063119953,26.34929091046556,0.0,True,False
2005-01-27,1174.550048828125,13.239999771118164,,0.024407444334296906,400777.8854172333,-127.75513064089527,400650.1302865924,26.46302019573452,0.0,True,False
2005-01-28,1171.3599853515625,13.239999771118164,,0.024509453367272362,400668.36570964445,0.0,400668.36570964445,26.800797245444773,22.151166024102423,False,False
2005-01-31,1181.27001953125,12.81999969482422,,0.025223589248672858,400749.0875053878,0.0,400749.0875053878,80.72179574333025,0.0,False,False
2005-02-01,1189.4100341796875,12.029999732971191,,0.025121562052130356,400926.6180786264,-319.8355604857137,400606.7825181407,27.695012752880064,0.0,True,False
2005-02-02,1193.18994140625,11.65999984741211,,0.025121562052130356,400954.21328281204,-305.08755560114435,400649.1257272109,27.59520418565437,0.0,True,False
2005-02-03,1189.8900146484375,11.789999961853027,,0.024815496033122095,400981.810386336,-289.52215881823975,400692.28822751774,27.5971035239864,0.0,True,False
2005-02-04,1203.030029296875,11.210000038146973,,0.02471347921655298,401009.0731282275,-320.86396834061077,400688.2091598869,27.262741891496567,0.0,True,False
2005-02-07,1201.719970703125,11.729999542236328,,0.025223589248672858,401090.5361636618,-317.28272409325086,400773.25343956857,81.46303543429879,0.0,True,False
2005-02-08,1202.300048828125,11.600000381469728,,0.025223589248672858,401118.25477328675,-302.16240624700845,400816.09236703976,27.718609624938384,0.0,True,False
2005-02-09,1191.989990234375,12.0,,0.025121562052130356,401145.97529849247,-258.0868311785312,400887.88846731395,27.72052520571196,0.0,True,False
2005-02-10,1197.010009765625,11.510000228881836,,0.025121562052130356,401173.585600721,-243.5624132802654,400930.02318744076,27.610302228535165,0.0,True,False
2005-02-11,1205.300048828125,11.43000030517578,,0.025427651427860534,401201.19780332706,-282.3345192210641,400918.863284106,27.612202606043834,0.0,True,False
2005-02-14,1206.1400146484375,11.520000457763672,,0.025937852300922264,401285.05536762986,-261.7537998653606,401023.3015677645,83.85756430278558,0.0,True,False
2005-02-15,1210.1199951171875,11.270000457763672,,0.025937852300922264,401313.572743882,-268.544827113467,401045.02791676857,28.517376252174856,0.0,True,False
2005-02-16,1210.3399658203125,11.100000381469728,,0.025733764163878625,401342.09214672534,-248.1520046661461,401093.9401420592,28.519402843340988,0.0,True,False
2005-02-17,1200.75,11.770000457763672,,0.025733764163878625,401370.3891517618,-208.68084706427146,401161.70830469753,28.297005036444627,0.0,True,False
2005-02-18,1201.5899658203125,11.18000030517578,,0.026039900263749652,401398.68815190543,-176.66546298626102,401222.02268891915,28.299000143635478,0.0,True,False
2005-02-22,1184.1600341796875,13.140000343322754,,0.026754308709582827,401513.2511474015,-174.83166379163254,401338.4194836099,114.5629954960921,0.0,True,False
2005-02-23,1190.800048828125,12.390000343322754,,0.026754308709582827,401542.6829369384,-149.73629904785543,401392.9466378906,29.431789536892953,0.0,True,False
2005-02-24,1200.199951171875,11.56999969482422,,0.026856377447150227,401572.11688388913,-136.50663989046993,401435.61024399864,29.433946950708986,0.0,True,False
2005-02-25,1211.3699951171875,11.489999771118164,,0.02736676009919167,401418.1034209848,0.0,401418.1034209848,29.548408547994764,-33.726310966609255,False,False
