month,month_end,equity,cash,open_mark,cash_pnl,realised_premium_pnl,filter_active_days,trading_days,total_pnl,premium_pnl,total_return
2005-01,2005-01-31,400749.0875053878,400749.0875053878,0.0,726.9363393637063,22.151166024102423,0,20,749.0875053877826,22.151166024076247,0.0018727187634694565
2005-02,2005-02-28,401508.4054636695,401508.4054636695,0.0,793.0442692483304,-33.726310966609255,0,19,759.3179582817247,-33.72631096660564,0.0018947465682539234
2005-03,2005-03-31,402407.8894836944,402407.8894836944,0.0,951.4216341125084,-51.93761408762879,0,22,899.4840200248873,-51.937614087621114,0.0022402619914921734
2005-04,2005-04-29,403287.2857174782,403287.2857174782,0.0,903.5461056312276,-24.14987184743385,0,21,879.396233783802,-24.14987184742563,0.002185335468725782
2005-05,2005-05-31,404092.74612672906,404418.42751018784,-325.6813834587777,1021.6907632075672,-46.230353956782395,0,21,805.4604092508671,-216.23035395670013,0.001997237299008554
2005-06,2005-06-30,405301.98902264953,405301.98902264953,0.0,1003.7446419489082,35.498253971511666,0,22,1209.24289592047,205.49825397156167,0.002992488500501899
2005-07,2005-07-29,406221.17733339535,406221.17733339535,0.0,1047.1647518055695,-127.97644105986974,0,20,919.1883107458125,-127.97644105975701,0.0022679096960820625
2005-08,2005-08-31,407412.398686735,407412.398686735,0.0,1286.396826192528,-95.17547285280546,0,23,1191.2213533396716,-95.17547285285627,0.0029324452288759136
2005-09,2005-09-30,408627.22901583527,408627.22901583527,0.0,1165.7187956910916,49.11153340914356,0,21,1214.8303291002521,49.11153340916053,0.0029818197311033525
2005-10,2005-10-31,409917.8889950517,409917.8889950517,0.0,1300.6414012441446,-9.981422027560809,0,21,1290.6599792164052,-9.981422027739427,0.0031585266168505603
2005-11,2005-11-30,410931.4366128242,410931.4366128242,0.0,1335.469766431292,-321.9221486587411,0,21,1013.5476177725359,-321.9221486587562,0.002472562542360211
2005-12,2005-12-30,412269.92404410464,412269.92404410464,0.0,1337.3464303204098,1.14100096000071,0,21,1338.4874312804313,1.141000960021529,0.0032572037863862475
2006-01,2006-01-31,413598.45850504143,413951.45465544815,-352.99615040670204,1550.8913153071878,-52.35685437044666,0,20,1328.5344609367894,-222.35685437039842,0.0032224869762623354
2006-02,2006-02-28,415264.1108761421,415264.1108761421,0.0,1435.5986195510318,60.05375154958263,0,19,1665.652371100674,230.05375154964213,0.004027220935786856
2006-03,2006-03-31,416909.5972643988,416909.5972643988,0.0,1626.5967965497198,18.889591707153627,0,23,1645.4863882567151,18.88959170699536,0.003962505656424286
